slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,3xpl,,"[""[Explore](https://3xpl.com/)""]",Custom,"[""Transactions"",""Blocks""]","[""Ad-free"",""Ultra-fast""]",FALSE,"[""JSON API""]",,"[""Address"",""Tx""]",FALSE,TRUE,Free,
arbiscan,Etherscan,,,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,
arkham,Arkham,,"[""[Explore](https://arkm.com/register?ref=aee358ba-e4d6-455a-a6e0-741243247160)"",""[Docs](https://codex.arkm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]",FALSE,"[""REST API""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,Partially paid,
beaconchain,Beaconcha.in,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
berascan,Berachain,BeraScan,"[""[Explore](https://berascan.com/)"",""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts"",""Blocks""]",,FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
beryx,Beryx,,"[""[Explore](https://beryx.io/)""]",Custom,"[""Accounts"",""Contracts"",""Gas"",""Mempool""]",,FALSE,"[""JSON-RPC""]",,"[""Height"",""Block"",""Address"",""Message ID"",""Event""]",TRUE,TRUE,Free,
bithomp,Bithomp,,"[""[Explore](https://bithomp.com/explorer/)""]",Custom,"[""Accounts"",""Transactions"",""Ledgers""]","[""XRPL Analytics"",""Exchange-Focused Toolkit""]",FALSE,,,"[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,
bitquery,Bitquery,,"[""[Explore](https://explorer.bitquery.io/)""]",Custom,"[""Complex Queries"",""DEX Trades"",""Money Flow""]","[""GraphQL Interface"",""Data Mining""]",FALSE,"[""GraphQL""]",,"[""Custom Queries""]",FALSE,TRUE,Free,
blockchair,Blockchair,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Multi-Chain Search"",""PDF Reports""]",FALSE,"[""REST API""]","[""Python"",""Node.js""]","[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
blockcypher,BlockCypher,,"[""[Explore](https://live.blockcypher.com/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks""]","[""WebHooks"",""Payment Forwarding"",""Confidence Lookups""]",FALSE,"[""REST API"",""WebSockets""]","[""Go"",""Python"",""Ruby""]","[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,
blockexplorer-one,Blockexplorer.one,,"[""[Explore](https://blockexplorer.one/)""]",Custom,"[""Transactions"",""Blocks""]","[""Multi-chain UI""]",FALSE,"[""REST API""]",,"[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,
blockscan,Blockscan,,"[""[Explore](https://blockscan.com/)""]",Custom,"[""Multichain Portfolio"",""Transactions"",""Analytics""]","[""Web3 Chat"",""Multichain Search"",""Portfolio Tracking"",""Multichain Charts""]",FALSE,,,"[""Address"",""Transaction Hash"",""Token""]",FALSE,FALSE,Free,
blockscout,Blockscout,,"[""[Explore](https://www.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free,
bscscan,Etherscan,,"[""[Explore](https://bscscan.com/)""]",Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""Validator Leaderboard"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
chainlens-growth,Chainlens,,"[""[Buy](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$995/mo,
chainlens-pro,Chainlens,,"[""[Contact](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics"",""White-labeling""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$1995/mo,
chainlens-starter,Chainlens,,"[""[Buy](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$495/mo,
core-scan,Core DAO,Core Scan,"[""[Explore](https://scan.coredao.org/)"",""[Docs](https://docs.coredao.org/docs/Dev-Guide/core-explorer)""]",Custom,"[""Transactions"",""Accounts"",""Blocks""]","[""Mainnet and Testnet explorers""]",FALSE,,,,TRUE,TRUE,Free,
dex-guru,Dex.Guru,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]",,FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",TRUE,FALSE,Free,
etherscan,Etherscan,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free,
ethplorer,Ethplorer,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
ethvm,EthVM,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
filfox,FilFox,,"[""[Explore](https://filfox.info/en/)""]",Custom,"[""Storage Power"",""Sector Pledge"",""Gas"",""Storage Providers""]",,FALSE,"[""REST""]",,"[""Height"",""Address"",""Message ID""]",TRUE,TRUE,Free,
filscan,FilScan,,"[""[Explore](https://filscan.io)""]",Custom,"[""Contracts"",""Storage Power"",""Block Rewards"",""Storage Providers"",""Tokens"",""Storage Capacity""]",,FALSE,,,"[""Address"",""Message ID"",""Height"",""Block"",""Miner ID"",""FNS""]",TRUE,TRUE,Free,
flareexplorer,Flare Network,Flare Explorer,"[""[Explore](https://flare-explorer.flare.network/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
